timestamp_s,id,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,xE_m,yE_m,zE_m,rollE_deg,pitchE_deg,yawE_deg
1761141721.690847,0,-0.026050,0.003492,1.150401,4.858,-0.496,-84.730,-0.026050,0.003492,1.150401,4.858,-0.496,-84.730
1761141721.791051,0,-0.025953,0.003509,1.150356,4.972,-0.474,-84.735,-0.025953,0.003509,1.150356,4.972,-0.474,-84.735
1761141721.882637,0,-0.025800,0.003512,1.150099,5.144,-0.467,-84.732,-0.025800,0.003512,1.150099,5.144,-0.467,-84.732
1761141721.964052,0,-0.025787,0.003524,1.150131,5.176,-0.433,-84.730,-0.025787,0.003524,1.150131,5.176,-0.433,-84.730
1761141722.043328,0,-0.025708,0.003528,1.149980,5.273,-0.454,-84.727,-0.025708,0.003528,1.149980,5.273,-0.454,-84.727
1761141722.122504,0,-0.025669,0.003545,1.150040,5.173,-0.432,-84.725,-0.025669,0.003545,1.150040,5.173,-0.432,-84.725
1761141722.199311,0,-0.025610,0.003545,1.150031,5.347,-0.489,-84.721,-0.025610,0.003545,1.150031,5.347,-0.489,-84.721
1761141722.286732,0,-0.025560,0.003549,1.149975,5.276,-0.490,-84.727,-0.025560,0.003549,1.149975,5.276,-0.490,-84.727
1761141722.389490,0,-0.025512,0.003562,1.149821,5.374,-0.490,-84.729,-0.025512,0.003562,1.149821,5.374,-0.490,-84.729
1761141722.492980,0,-0.025467,0.003643,1.146552,5.291,-0.365,-84.722,-0.025467,0.003643,1.146552,5.291,-0.365,-84.722
1761141722.585776,0,-0.025398,0.003571,1.151404,5.554,-0.567,-84.728,-0.025398,0.003571,1.151404,5.554,-0.567,-84.728
1761141733.881345,0,0.030404,-0.012697,1.149683,4.827,-0.900,-87.259,0.030404,-0.012697,1.149683,4.827,-0.900,-87.259
1761141733.964624,0,0.030174,-0.012617,1.150177,2.442,-0.251,-87.350,0.030174,-0.012617,1.150177,2.442,-0.251,-87.350
1761141734.043485,0,0.030259,-0.012622,1.150161,2.582,-0.319,-87.340,0.030259,-0.012622,1.150161,2.582,-0.319,-87.340
1761141734.120522,0,0.030301,-0.012604,1.150088,2.546,-0.263,-87.341,0.030301,-0.012604,1.150088,2.546,-0.263,-87.341
1761141734.218129,0,0.030376,-0.012582,1.149939,2.815,-0.249,-87.322,0.030376,-0.012582,1.149939,2.815,-0.249,-87.322
1761141734.308340,0,0.030425,-0.012586,1.149852,2.687,-0.393,-87.318,0.030425,-0.012586,1.149852,2.687,-0.393,-87.318
1761141734.398898,0,0.030538,-0.012569,1.149602,2.974,-0.454,-87.312,0.030538,-0.012569,1.149602,2.974,-0.454,-87.312
1761141734.489010,0,0.030543,-0.012495,1.149676,3.155,-0.404,-87.300,0.030543,-0.012495,1.149676,3.155,-0.404,-87.300
1761141734.594902,0,0.030582,-0.012462,1.149509,3.158,-0.433,-87.291,0.030582,-0.012462,1.149509,3.158,-0.433,-87.291
1761141734.691910,0,0.030649,-0.012429,1.149166,3.364,-0.482,-87.270,0.030649,-0.012429,1.149166,3.364,-0.482,-87.270
1761141734.788256,0,0.030699,-0.012424,1.149129,3.290,-0.643,-87.260,0.030699,-0.012424,1.149129,3.290,-0.643,-87.260
1761141734.890618,0,0.030759,-0.012398,1.149140,3.335,-0.742,-87.245,0.030759,-0.012398,1.149140,3.335,-0.742,-87.245
1761141734.982661,0,0.030886,-0.012368,1.148972,3.570,-0.688,-87.243,0.030886,-0.012368,1.148972,3.570,-0.688,-87.243
1761141735.083895,0,0.030950,-0.012346,1.148963,3.559,-0.646,-87.243,0.030950,-0.012346,1.148963,3.559,-0.646,-87.243
1761141735.168735,0,0.031001,-0.012352,1.148809,3.705,-0.689,-87.246,0.031001,-0.012352,1.148809,3.705,-0.689,-87.246
1761141735.256486,0,0.031008,-0.012330,1.148757,3.538,-0.639,-87.231,0.031008,-0.012330,1.148757,3.538,-0.639,-87.231
1761141735.343014,0,0.031045,-0.012330,1.148685,3.641,-0.601,-87.237,0.031045,-0.012330,1.148685,3.641,-0.601,-87.237
1761141735.415035,0,0.031078,-0.012333,1.148876,3.589,-0.594,-87.236,0.031078,-0.012333,1.148876,3.589,-0.594,-87.236
1761141735.488755,0,0.031131,-0.012335,1.148872,3.757,-0.576,-87.227,0.031131,-0.012335,1.148872,3.757,-0.576,-87.227
1761141735.579389,0,0.031153,-0.012334,1.149014,3.668,-0.455,-87.229,0.031153,-0.012334,1.149014,3.668,-0.455,-87.229
1761141735.648408,0,0.031178,-0.012356,1.148756,3.667,-0.598,-87.232,0.031178,-0.012356,1.148756,3.667,-0.598,-87.232
1761141735.729263,0,0.031181,-0.012357,1.148747,3.730,-0.639,-87.232,0.031181,-0.012357,1.148747,3.730,-0.639,-87.232
1761141735.814332,0,0.031210,-0.012339,1.148573,3.694,-0.577,-87.228,0.031210,-0.012339,1.148573,3.694,-0.577,-87.228
1761141735.880375,0,0.031211,-0.012366,1.148680,3.747,-0.621,-87.235,0.031211,-0.012366,1.148680,3.747,-0.621,-87.235
1761141735.947985,0,0.031215,-0.012351,1.148640,3.715,-0.502,-87.218,0.031215,-0.012351,1.148640,3.715,-0.502,-87.218
1761141736.015311,0,0.031231,-0.012365,1.148355,3.763,-0.596,-87.228,0.031231,-0.012365,1.148355,3.763,-0.596,-87.228
1761141736.085187,0,0.031209,-0.012332,1.148490,3.667,-0.452,-87.225,0.031209,-0.012332,1.148490,3.667,-0.452,-87.225
1761141736.153886,0,0.031236,-0.012325,1.148193,3.846,-0.396,-87.220,0.031236,-0.012325,1.148193,3.846,-0.396,-87.220
1761141736.221001,0,0.031242,-0.012341,1.147791,3.873,-0.631,-87.228,0.031242,-0.012341,1.147791,3.873,-0.631,-87.228
1761141736.282843,0,0.031218,-0.012354,1.148720,3.872,-0.466,-87.224,0.031218,-0.012354,1.148720,3.872,-0.466,-87.224
1761141736.349923,0,0.031243,-0.012360,1.152750,4.094,-0.383,-87.208,0.031243,-0.012360,1.152750,4.094,-0.383,-87.208
1761141736.419706,0,0.031273,-0.012317,1.146380,4.021,-0.437,-87.204,0.031273,-0.012317,1.146380,4.021,-0.437,-87.204
1761141736.481897,0,0.031234,-0.012347,1.150055,4.043,-0.550,-87.212,0.031234,-0.012347,1.150055,4.043,-0.550,-87.212
1761141736.552128,0,0.031278,-0.012342,1.150014,4.005,-0.542,-87.217,0.031278,-0.012342,1.150014,4.005,-0.542,-87.217
1761141736.620629,0,0.031282,-0.012332,1.149984,4.044,-0.549,-87.196,0.031282,-0.012332,1.149984,4.044,-0.549,-87.196
1761141736.696235,0,0.031285,-0.012331,1.150071,4.024,-0.599,-87.202,0.031285,-0.012331,1.150071,4.024,-0.599,-87.202
1761141736.769328,0,0.031324,-0.012333,1.150038,4.047,-0.674,-87.209,0.031324,-0.012333,1.150038,4.047,-0.674,-87.209
1761141736.837524,0,0.031339,-0.012317,1.150327,3.934,-0.615,-87.193,0.031339,-0.012317,1.150327,3.934,-0.615,-87.193
1761141736.896379,0,0.031368,-0.012288,1.150274,4.067,-0.410,-87.185,0.031368,-0.012288,1.150274,4.067,-0.410,-87.185
1761141736.963954,0,0.031394,-0.012316,1.150249,4.020,-0.672,-87.206,0.031394,-0.012316,1.150249,4.020,-0.672,-87.206
1761141737.049974,0,0.031394,-0.012308,1.150203,4.115,-0.617,-87.202,0.031394,-0.012308,1.150203,4.115,-0.617,-87.202
1761141737.130721,0,0.031422,-0.012301,1.150220,4.050,-0.589,-87.191,0.031422,-0.012301,1.150220,4.050,-0.589,-87.191
1761141737.212442,0,0.031412,-0.012302,1.150321,4.001,-0.604,-87.193,0.031412,-0.012302,1.150321,4.001,-0.604,-87.193
1761141737.283500,0,0.031417,-0.012291,1.150345,4.039,-0.577,-87.195,0.031417,-0.012291,1.150345,4.039,-0.577,-87.195
1761141737.366069,0,0.031445,-0.012284,1.150314,4.138,-0.579,-87.196,0.031445,-0.012284,1.150314,4.138,-0.579,-87.196
1761141737.444150,0,0.031432,-0.012292,1.150418,4.026,-0.590,-87.188,0.031432,-0.012292,1.150418,4.026,-0.590,-87.188
